Neighborhood,PID,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,Screen Porch,SalePrice
Blmngtn,528228414.3181818,3396.818181818182,7.181818181818182,2005.090909090909,2005.5454545454545,41.86363636363637,317.40909090909093,1001.8181818181819,1319.2272727272727,1433.4545454545455,0.0,1433.4545454545455,0.2727272727272727,1.9090909090909092,0.09090909090909091,1.8636363636363635,1.0,6.363636363636363,0.9545454545454546,2005.1363636363637,2.3181818181818183,492.6363636363636,139.0,16.818181818181817,0.0,6.545454545454546,200417.68181818182
Blueste,909452445.0,2409.6666666666665,6.666666666666667,1983.0,1983.0,0.0,253.16666666666666,399.3333333333333,754.5,765.3333333333334,448.6666666666667,1214.0,0.3333333333333333,1.3333333333333333,0.5,2.0,1.0,5.0,1.0,1983.0,2.0,494.5,149.66666666666666,19.5,0.0,0.0,144566.66666666666
BrDale,527450990.0,1798.1052631578948,5.842105263157895,1971.7894736842106,1973.6315789473683,388.57894736842104,242.57894736842104,274.63157894736844,532.6842105263158,532.6842105263158,541.8421052631579,1074.5263157894738,0.21052631578947367,1.105263157894737,1.0,2.4210526315789473,1.0,5.473684210526316,0.0,1974.2631578947369,1.0526315789473684,271.57894736842104,79.6842105263158,1.894736842105263,0.0,0.0,103371.05263157895
BrkSide,849870875.0657895,7017.394736842105,5.2105263157894735,1933.1447368421052,1967.907894736842,6.052631578947368,216.28,551.8881578947369,792.1381578947369,907.5921052631579,333.38157894736844,1247.7631578947369,0.18421052631578946,1.1578947368421053,0.17105263157894737,2.6842105263157894,1.0263157894736843,5.815789473684211,0.4473684210526316,1955.1842105263158,1.25,329.07894736842104,58.89473684210526,28.17105263157895,32.25,16.93421052631579,127022.69736842105
ClearCr,905331516.4444444,28538.14814814815,6.037037037037037,1968.5925925925926,1983.2592592592594,87.62962962962963,564.8148148148148,409.74074074074076,1209.0,1356.7037037037037,416.55555555555554,1796.1851851851852,0.6666666666666666,1.6296296296296295,0.3333333333333333,2.7777777777777777,1.0,6.851851851851852,1.4074074074074074,1972.148148148148,1.7407407407407407,488.2962962962963,206.2962962962963,55.77777777777778,32.370370370370374,26.0,217490.07407407407
CollgCr,907081990.8333334,10227.283333333333,6.683333333333334,1998.4222222222222,1999.6166666666666,89.62777777777778,487.8666666666667,638.4777777777778,1153.7611111111112,1172.7055555555555,336.3222222222222,1509.0277777777778,0.4888888888888889,1.7666666666666666,0.4722222222222222,2.838888888888889,1.0055555555555555,6.338888888888889,0.40555555555555556,1998.7833333333333,2.066666666666667,567.0055555555556,123.63333333333334,54.333333333333336,3.4611111111111112,7.45,202497.21666666667
Crawfor,909534264.5915493,11667.732394366198,6.253521126760563,1947.7042253521126,1980.7042253521126,65.08450704225352,475.07042253521126,519.3661971830986,1049.7042253521126,1264.338028169014,434.71830985915494,1704.4647887323943,0.39436619718309857,1.5352112676056338,0.352112676056338,2.915492957746479,1.0422535211267605,6.802816901408451,1.1971830985915493,1958.9577464788733,1.6619718309859155,423.38028169014086,68.14084507042253,28.098591549295776,54.15492957746479,32.15492957746479,205901.21126760563
Edwards,907132276.9580419,10463.67132867133,5.104895104895105,1956.3636363636363,1971.7412587412587,50.38461538461539,414.4755244755245,451.3776223776224,895.5944055944055,1128.1818181818182,211.52447552447552,1345.3846153846155,0.45454545454545453,1.3566433566433567,0.16783216783216784,2.909090909090909,1.055944055944056,6.1328671328671325,0.4125874125874126,1968.7272727272727,1.1958041958041958,331.5874125874126,71.16083916083916,29.083916083916083,26.426573426573427,12.846153846153847,130493.46853146853
Gilbert,527758176.25,11143.068965517241,6.474137931034483,1997.9224137931035,1998.5862068965516,38.51724137931034,248.76724137931035,637.1034482758621,886.8448275862069,950.3793103448276,659.3103448275862,1610.146551724138,0.25,1.9741379310344827,0.8275862068965517,3.103448275862069,1.0,6.974137931034483,0.8189655172413793,1998.2155172413793,2.060344827586207,452.9051724137931,98.9396551724138,41.31896551724138,3.6724137931034484,5.474137931034483,189228.3879310345
Greens,533253153.3333333,3876.6666666666665,8.0,1978.6666666666667,1978.6666666666667,0.0,837.0,213.66666666666666,1226.0,1226.0,0.0,1226.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1978.6666666666667,2.0,484.0,163.0,72.0,0.0,0.0,188666.66666666666
